date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:50	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/tkt/wp-json/wp/v2/pages/414.json	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/wp-json/wp/v2/pages/414.json	(from https://promopay.site/tkt/)
13:29:51	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/tkt/xmlrpc0db0.php?rsd	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/xmlrpc0db00db0.php	(from https://promopay.site/tkt/)
13:29:51	57227/57227	---M-Z	200	added ('OK')	text/html	etag:%22df8b-67a03c88-81b889307d6e4c10;gz%22	https://promopay.site/tkt/index.html	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/index-2.html	(from https://promopay.site/tkt/)
13:29:51	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/tkt/wp-json/oembed/1.0/embedfd44.json?url=https%3A%2F%2Frespostaspremiadas.com%2F	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/wp-json/oembed/1.0/embedfd44fd44.json	(from https://promopay.site/tkt/)
13:29:51	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/tkt/wp-json/oembed/1.0/embed49f0?url=https%3A%2F%2Frespostaspremiadas.com%2F&format=xml	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/wp-json/oembed/1.0/embed49f049f0	(from https://promopay.site/tkt/)
13:29:52	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/pesquisaonline/promopay.site/cdn.utmify.com.br/scripts/utms/latest.js	(from https://promopay.site/tkt/)
13:29:52	360/360	---M--	200	added ('OK')	image/webp	etag:%22168-67843aad-53c0f15cdfbb7a51;;;%22	https://promopay.site/tkt/images/cropped-622e383d-a968-4ce6-8efa-0d2d91fc9977-gif-tiktok-e1735776294167-32x32.webp	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/images/cropped-622e383d-a968-4ce6-8efa-0d2d91fc9977-gif-tiktok-e1735776294167-32x32.webp	(from https://promopay.site/tkt/)
13:29:52	1788/1788	---M--	200	added ('OK')	image/webp	etag:%226fc-67843aad-ed37b1b83fb250ca;;;%22	https://promopay.site/tkt/images/cropped-622e383d-a968-4ce6-8efa-0d2d91fc9977-gif-tiktok-e1735776294167-192x192.webp	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/images/cropped-622e383d-a968-4ce6-8efa-0d2d91fc9977-gif-tiktok-e1735776294167-192x192.webp	(from https://promopay.site/tkt/)
13:29:52	1622/1622	---M--	200	added ('OK')	image/webp	etag:%22656-67843aad-15acfa129af64168;;;%22	https://promopay.site/tkt/images/cropped-622e383d-a968-4ce6-8efa-0d2d91fc9977-gif-tiktok-e1735776294167-180x180.webp	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/images/cropped-622e383d-a968-4ce6-8efa-0d2d91fc9977-gif-tiktok-e1735776294167-180x180.webp	(from https://promopay.site/tkt/)
13:29:53	18726/18726	---M-Z	200	added ('OK')	application/x-javascript	etag:%224926-67843aae-37a174cd847d384a;gz%22	https://promopay.site/tkt/js/wp-emoji-release.min.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/wp-emoji-release.min.js	(from https://promopay.site/tkt/)
13:29:53	54423/54423	---M-Z	200	added ('OK')	text/html	etag:%22d497-67a03b45-ac20db76cb95dd50;gz%22	https://promopay.site/tkt/tiktok1/index.html	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/tiktok1/index.html	(from https://promopay.site/tkt/)
13:29:53	1936/1936	---M-Z	200	added ('OK')	application/x-javascript	etag:%22790-67843aad-d0015e6124566f82;gz%22	https://promopay.site/tkt/js/hello-frontend.mindeae.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/hello-frontend.mindeae.js	(from https://promopay.site/tkt/)
13:29:53	11580/11580	---M-Z	200	added ('OK')	application/x-javascript	etag:%222d3c-67843aad-1e709944224dbe68;gz%22	https://promopay.site/tkt/js/general.min42c6.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/general.min42c6.js	(from https://promopay.site/tkt/)
13:29:54	6263/6263	---M-Z	200	added ('OK')	application/x-javascript	etag:%221877-67843aae-efc4798321e5091c;gz%22	https://promopay.site/tkt/js/webpack-pro.runtime.min9e35.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/webpack-pro.runtime.min9e35.js	(from https://promopay.site/tkt/)
13:29:54	5326/5326	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214ce-67843aae-89ada24933fb0fdf;gz%22	https://promopay.site/tkt/js/webpack.runtime.min7ac2.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/webpack.runtime.min7ac2.js	(from https://promopay.site/tkt/)
13:29:54	52754/52754	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ce12-67843aad-fdc7aa4ef8d0857c;gz%22	https://promopay.site/tkt/js/frontend-modules.min7ac2.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/frontend-modules.min7ac2.js	(from https://promopay.site/tkt/)
13:29:54	4776/4776	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212a8-67843aad-d811f440e907be99;gz%22	https://promopay.site/tkt/js/hooks.min4fdd.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/hooks.min4fdd.js	(from https://promopay.site/tkt/)
13:29:54	9141/9141	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223b5-67843aad-e09cfa619451c55b;gz%22	https://promopay.site/tkt/js/i18n.minc33c.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/i18n.minc33c.js	(from https://promopay.site/tkt/)
13:29:55	24210/24210	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e92-67843aad-b839113f788c2497;gz%22	https://promopay.site/tkt/js/frontend.min9e35.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/frontend.min9e35.js	(from https://promopay.site/tkt/)
13:29:55	21464/21464	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253d8-67843aad-344e03b433411140;gz%22	https://promopay.site/tkt/js/core.minb37e.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/core.minb37e.js	(from https://promopay.site/tkt/)
13:29:55	45439/45439	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b17f-67843aad-73439c02b7e1043f;gz%22	https://promopay.site/tkt/js/frontend.min7ac2.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/frontend.min7ac2.js	(from https://promopay.site/tkt/)
13:29:55	44624/44624	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ae50-67843aad-bd117cd83b0a487d;gz%22	https://promopay.site/tkt/js/elements-handlers.min9e35.js	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/js/elements-handlers.min9e35.js	(from https://promopay.site/tkt/)
13:29:56	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/tkt/a	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/a	(from https://promopay.site/tkt/js/fbevents.js)
13:29:56	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/tkt/POST	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/POST	(from https://promopay.site/tkt/js/fbevents.js)
13:29:56	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/tkt/b.resolvedLink	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/b.resolvedLink	(from https://promopay.site/tkt/js/fbevents.js)
13:29:56	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/signals/iwl.js	C:/Meus%20Sites/pesquisaonline/promopay.site/signals/iwl.js	(from https://promopay.site/tkt/js/fbevents.js)
13:29:57	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65415e23-3d2632f75c6524f8;gz%22	https://promopay.site/tkt/schema.org/	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/schema.org/index.html	(from https://promopay.site/tkt/js/fbevents.js)
13:29:57	221444/221444	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2236104-67843aad-11bb939a37f71624;gz%22	https://promopay.site/tkt/fonts/eiconsa7eb.eot	C:/Meus%20Sites/pesquisaonline/promopay.site/tkt/fonts/eiconsa7eb.eot	(from https://promopay.site/tkt/css/elementor-icons.min705c.css)
